,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
1972,Ring The Alarm___DJ Snake,2021-11-10 22:28,DJ Snake,Ring The Alarm,215625,2021-11-10 22:28:00,0.757,0.683,9.0,-5.624,1.0,0.183,0.00103,0.00653,0.455,0.585,127.962,audio_features,67kJ3o6PrkB9CetDTXQ1wR,spotify:track:67kJ3o6PrkB9CetDTXQ1wR,https://api.spotify.com/v1/tracks/67kJ3o6PrkB9CetDTXQ1wR,https://api.spotify.com/v1/audio-analysis/67kJ3o6PrkB9CetDTXQ1wR,176250.0,4.0,Ring The Alarm (Remixes),6161quyAWtf6v1f0kIUd4w
1973,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage___Skylar Grey",2021-11-10 22:34,Skylar Grey,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",257369,2021-11-10 22:34:00,0.664,0.692,1.0,-4.128,0.0,0.127,0.237,0.0,0.0798,0.233,154.924,audio_features,5W8HXMOMLtXLz0RGKUtnlZ,spotify:track:5W8HXMOMLtXLz0RGKUtnlZ,https://api.spotify.com/v1/tracks/5W8HXMOMLtXLz0RGKUtnlZ,https://api.spotify.com/v1/audio-analysis/5W8HXMOMLtXLz0RGKUtnlZ,257369.0,4.0,"Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]",2ZaFqYD9a3U6qJhyS2LDRf
1974,FEELING GUD___NGHTMRE,2021-11-10 22:37,NGHTMRE,FEELING GUD,190682,2021-11-10 22:37:00,0.484,0.94,5.0,-3.682,0.0,0.257,0.0145,0.000323,0.266,0.334,173.741,audio_features,0suLmBuEbatdochI4tHduq,spotify:track:0suLmBuEbatdochI4tHduq,https://api.spotify.com/v1/tracks/0suLmBuEbatdochI4tHduq,https://api.spotify.com/v1/audio-analysis/0suLmBuEbatdochI4tHduq,190682.0,4.0,FEELING GUD,6jd5jHj3j3dakL1cKvzMEC
1975,Enjoy Enjaami - Spotify Singles (with Dhee feat. Arivu & Santhosh Narayanan)___DJ Snake,2021-11-10 22:41,DJ Snake,Enjoy Enjaami - Spotify Singles (with Dhee feat. Arivu & Santhosh Narayanan),31609,2021-11-10 22:41:00,0.815,0.688,0.0,-6.101,1.0,0.0659,0.00159,4.11e-06,0.111,0.641,101.968,audio_features,3z5ITnx50sxmTospLAcM03,spotify:track:3z5ITnx50sxmTospLAcM03,https://api.spotify.com/v1/tracks/3z5ITnx50sxmTospLAcM03,https://api.spotify.com/v1/audio-analysis/3z5ITnx50sxmTospLAcM03,167059.0,4.0,Enjoy Enjaami - Spotify Singles (with Dhee feat. Arivu & Santhosh Narayanan),340wvzkkhWbH7wllc3UDLM
1976,Tears For Later___Don Diablo,2021-11-10 22:41,Don Diablo,Tears For Later,166736,2021-11-10 22:41:00,0.633,0.866,1.0,-3.694,1.0,0.149,0.0246,0.001,0.0904,0.161,95.059,audio_features,0qLCGr3tEqsvk5FfHU2XqV,spotify:track:0qLCGr3tEqsvk5FfHU2XqV,https://api.spotify.com/v1/tracks/0qLCGr3tEqsvk5FfHU2XqV,https://api.spotify.com/v1/audio-analysis/0qLCGr3tEqsvk5FfHU2XqV,166737.0,4.0,Tears For Later,79k3hCGte01bmCcvPDEdwO
1977,Praise (feat. Gunna)___Tchami,2021-11-10 22:45,Tchami,Praise (feat. Gunna),210000,2021-11-10 22:45:00,0.737,0.681,10.0,-10.063,0.0,0.0536,0.0401,0.0011,0.31,0.799,124.023,audio_features,5cz0T1Q8AmpY18TDLAe2ja,spotify:track:5cz0T1Q8AmpY18TDLAe2ja,https://api.spotify.com/v1/tracks/5cz0T1Q8AmpY18TDLAe2ja,https://api.spotify.com/v1/audio-analysis/5cz0T1Q8AmpY18TDLAe2ja,210001.0,4.0,Year Zero,6judl2YelDUdvExxZpUAvP
1978,Save Me___Party Favor,2021-11-10 22:48,Party Favor,Save Me,127900,2021-11-10 22:48:00,0.588,0.725,2.0,-7.635,1.0,0.0525,0.00705,0.297,0.183,0.278,150.072,audio_features,6VkomiRtWhCiFs4nzrzNUc,spotify:track:6VkomiRtWhCiFs4nzrzNUc,https://api.spotify.com/v1/tracks/6VkomiRtWhCiFs4nzrzNUc,https://api.spotify.com/v1/audio-analysis/6VkomiRtWhCiFs4nzrzNUc,127900.0,4.0,Save Me,6ZTKe8BHDuJ9VlchZfywBD
1979,Take It Away - Alexander Lewis Remix___RL Grime,2021-11-10 22:52,RL Grime,Take It Away - Alexander Lewis Remix,211937,2021-11-10 22:52:00,0.521,0.852,6.0,-5.032,0.0,0.305,0.0366,0.0,0.375,0.531,141.102,audio_features,10sVJpsoTxf0CGp9LhSQJU,spotify:track:10sVJpsoTxf0CGp9LhSQJU,https://api.spotify.com/v1/tracks/10sVJpsoTxf0CGp9LhSQJU,https://api.spotify.com/v1/audio-analysis/10sVJpsoTxf0CGp9LhSQJU,211937.0,4.0,"NOVA (The Remixes, Vol. 2)",006Wgzj2wMz9BX5aPYqjTr
1980,I Won___Ty Dolla $ign,2021-11-10 22:55,Ty Dolla $ign,I Won,175639,2021-11-10 22:55:00,0.762,0.788,9.0,-4.087,0.0,0.174,0.272,0.0,0.114,0.672,140.993,audio_features,1viUV5EGlKGCiSveBfFeQg,spotify:track:1viUV5EGlKGCiSveBfFeQg,https://api.spotify.com/v1/tracks/1viUV5EGlKGCiSveBfFeQg,https://api.spotify.com/v1/audio-analysis/1viUV5EGlKGCiSveBfFeQg,175640.0,4.0,I Won [From F9 The Fast Saga Original Motion Picture Soundtrack],01RtA0qCjfGy0FY4ON23nD
1981,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)___DJ Snake",2021-11-10 22:57,DJ Snake,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",100508,2021-11-10 22:57:00,0.785,0.726,2.0,-4.209,1.0,0.0387,0.0739,4.01e-06,0.316,0.181,119.963,audio_features,5w8wL9IpVlOerzOzOvkjvG,spotify:track:5w8wL9IpVlOerzOzOvkjvG,https://api.spotify.com/v1/tracks/5w8wL9IpVlOerzOzOvkjvG,https://api.spotify.com/v1/audio-analysis/5w8wL9IpVlOerzOzOvkjvG,248053.0,4.0,Carte Blanche,2MFS6WG6jnPAgvJpV3PehR
1982,Goodbye___Imanbek,2021-11-10 23:00,Imanbek,Goodbye,144000,2021-11-10 23:00:00,0.741,0.931,10.0,-3.447,0.0,0.0563,0.0225,0.000102,0.191,0.517,125.011,audio_features,4crczEC1PpoD8TsDsmoWNI,spotify:track:4crczEC1PpoD8TsDsmoWNI,https://api.spotify.com/v1/tracks/4crczEC1PpoD8TsDsmoWNI,https://api.spotify.com/v1/audio-analysis/4crczEC1PpoD8TsDsmoWNI,144000.0,4.0,Goodbye,2wUKHXscUlHKW0tEVVYqRs
1983,Slow Motion (feat. Sam Sure)___The Magician,2021-11-10 23:11,The Magician,Slow Motion (feat. Sam Sure),246880,2021-11-10 23:11:00,0.858,0.659,6.0,-4.429,0.0,0.0527,0.00115,0.00789,0.0202,0.658,123.028,audio_features,7x5S89zsa9EBCJKMA2kasi,spotify:track:7x5S89zsa9EBCJKMA2kasi,https://api.spotify.com/v1/tracks/7x5S89zsa9EBCJKMA2kasi,https://api.spotify.com/v1/audio-analysis/7x5S89zsa9EBCJKMA2kasi,246880.0,4.0,Slow Motion (feat. Sam Sure),7bEtqmsYeDHYoDe29p8p0v
1984,Forever___Sigma,2021-11-10 23:12,Sigma,Forever,54059,2021-11-10 23:12:00,0.487,0.65,0.0,-5.195,1.0,0.0253,0.191,0.0,0.0933,0.456,151.964,audio_features,6IBcOGPsniK3Pso1wHIhew,spotify:track:6IBcOGPsniK3Pso1wHIhew,https://api.spotify.com/v1/tracks/6IBcOGPsniK3Pso1wHIhew,https://api.spotify.com/v1/audio-analysis/6IBcOGPsniK3Pso1wHIhew,232533.0,4.0,What You See Ain't Always What You Get (Deluxe Edition),25TJxI6ZH6XjT8geRQAFz5
1985,Fly Away (feat. Haley Larson)___Nathaniel Knows,2021-11-10 23:16,Nathaniel Knows,Fly Away (feat. Haley Larson),204487,2021-11-10 23:16:00,0.744,0.758,9.0,-4.167,1.0,0.0421,0.0934,9.53e-06,0.234,0.862,108.014,audio_features,7G9lb9041hRxJLZKswZxh5,spotify:track:7G9lb9041hRxJLZKswZxh5,https://api.spotify.com/v1/tracks/7G9lb9041hRxJLZKswZxh5,https://api.spotify.com/v1/audio-analysis/7G9lb9041hRxJLZKswZxh5,204487.0,4.0,Fly Away (feat. Haley Larson),6T2JYwqj0sKKHMrJsHAe9J
1986,Don't Let Me Be Yours___Zara Larsson,2021-11-10 23:19,Zara Larsson,Don't Let Me Be Yours,199053,2021-11-10 23:19:00,0.792,0.428,4.0,-6.931,1.0,0.0671,0.198,0.0,0.15,0.499,112.067,audio_features,65ACnVMmePTp8Xdk11jP2y,spotify:track:65ACnVMmePTp8Xdk11jP2y,https://api.spotify.com/v1/tracks/65ACnVMmePTp8Xdk11jP2y,https://api.spotify.com/v1/audio-analysis/65ACnVMmePTp8Xdk11jP2y,199053.0,4.0,So Good,5YLRVHDVRw3QqWbeTGpC5B
1987,Don't Leave___Snakehips,2021-11-10 23:23,Snakehips,Don't Leave,214693,2021-11-10 23:23:00,0.657,0.703,1.0,-3.402,1.0,0.0753,0.222,0.0,0.256,0.338,122.381,audio_features,0Zx8khUcEfCFK2AEoIhC92,spotify:track:0Zx8khUcEfCFK2AEoIhC92,https://api.spotify.com/v1/tracks/0Zx8khUcEfCFK2AEoIhC92,https://api.spotify.com/v1/audio-analysis/0Zx8khUcEfCFK2AEoIhC92,214693.0,4.0,Don't Leave,6buSUFSCXUIj3DOH3gUoRe
1988,Chasing Highs___ALMA,2021-11-10 23:26,ALMA,Chasing Highs,195678,2021-11-10 23:26:00,0.67,0.774,2.0,-3.068,0.0,0.0404,0.0399,0.00556,0.126,0.25,121.086,audio_features,6CSr11bPiFYJUzYo7vWiIw,spotify:track:6CSr11bPiFYJUzYo7vWiIw,https://api.spotify.com/v1/tracks/6CSr11bPiFYJUzYo7vWiIw,https://api.spotify.com/v1/audio-analysis/6CSr11bPiFYJUzYo7vWiIw,220651.0,4.0,Chasing Highs (Felix Cartal Remix),62e63ul1zthWxs5PhJ4s9j
1989,New___Daya,2021-11-10 23:32,Daya,New,230879,2021-11-10 23:32:00,0.621,0.73,5.0,-5.414,0.0,0.107,0.0967,0.000131,0.673,0.464,139.566,audio_features,0fv2KH6hac06J86hBUTcSf,spotify:track:0fv2KH6hac06J86hBUTcSf,https://api.spotify.com/v1/tracks/0fv2KH6hac06J86hBUTcSf,https://api.spotify.com/v1/audio-analysis/0fv2KH6hac06J86hBUTcSf,195320.0,4.0,IGOR,5zi7WsKlIiUXv09tbGLKsE
1990,I'm A Fan (feat. Jeremih)___Pia Mia,2021-11-10 23:35,Pia Mia,I'm A Fan (feat. Jeremih),163289,2021-11-10 23:35:00,0.522,0.614,0.0,-4.865,0.0,0.0666,0.551,0.0,0.298,0.555,128.148,audio_features,11SiIkTI3NsJvQGRyGw980,spotify:track:11SiIkTI3NsJvQGRyGw980,https://api.spotify.com/v1/tracks/11SiIkTI3NsJvQGRyGw980,https://api.spotify.com/v1/audio-analysis/11SiIkTI3NsJvQGRyGw980,163290.0,3.0,I'm A Fan (feat. Jeremih),6OLaKa3eijIUexvPchi8Vu
1991,First Time___M-22,2021-11-10 23:38,M-22,First Time,188918,2021-11-10 23:38:00,0.705,0.838,8.0,-3.69,1.0,0.0389,0.00449,0.00037,0.0926,0.219,124.03,audio_features,25Mf35cnnFalpVNFp0g3hW,spotify:track:25Mf35cnnFalpVNFp0g3hW,https://api.spotify.com/v1/tracks/25Mf35cnnFalpVNFp0g3hW,https://api.spotify.com/v1/audio-analysis/25Mf35cnnFalpVNFp0g3hW,188919.0,4.0,First Time,3UcnupRWONQCY3yBY1Ast9
1992,Stay For It___RL Grime,2021-11-10 23:42,RL Grime,Stay For It,258082,2021-11-10 23:42:00,0.355,0.852,6.0,-3.966,0.0,0.0632,0.0134,1.98e-05,0.0774,0.173,143.925,audio_features,69Lq3BWssbLhf4QDRtFY51,spotify:track:69Lq3BWssbLhf4QDRtFY51,https://api.spotify.com/v1/tracks/69Lq3BWssbLhf4QDRtFY51,https://api.spotify.com/v1/audio-analysis/69Lq3BWssbLhf4QDRtFY51,258082.0,4.0,Stay For It,3BAaYERimsEWJ1Y16O5tIs
