,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID,track Number
Thunder Nap___Purrple Cat,0.705,0.311,8.0,-11.633,1.0,0.0348,0.254,0.889,0.125,0.127,122.009,audio_features,3Cf1dq8a9ez9i9jdgVhV6t,spotify:track:3Cf1dq8a9ez9i9jdgVhV6t,https://api.spotify.com/v1/tracks/3Cf1dq8a9ez9i9jdgVhV6t,https://api.spotify.com/v1/audio-analysis/3Cf1dq8a9ez9i9jdgVhV6t,160338.0,4.0,Morning Coffee,6SyfRVMVetoCiUXBEzCJ0J,734
Mariposa - Acoustic___Peach Tree Rascals,0.689,0.296,9.0,-11.051,1.0,0.0402,0.83,0.0,0.151,0.473,109.079,audio_features,64o1r6z5k2HmTglC2D4IKm,spotify:track:64o1r6z5k2HmTglC2D4IKm,https://api.spotify.com/v1/tracks/64o1r6z5k2HmTglC2D4IKm,https://api.spotify.com/v1/audio-analysis/64o1r6z5k2HmTglC2D4IKm,216612.0,4.0,Mariposa (Acoustic),7vvn3NdaYY08BixfhVaA5L,735
Within___Daft Punk,0.702,0.297,10.0,-14.116,0.0,0.0317,0.894,0.485,0.103,0.0676,110.116,audio_features,7Bxv0WL7UC6WwQpk9TzdMJ,spotify:track:7Bxv0WL7UC6WwQpk9TzdMJ,https://api.spotify.com/v1/tracks/7Bxv0WL7UC6WwQpk9TzdMJ,https://api.spotify.com/v1/audio-analysis/7Bxv0WL7UC6WwQpk9TzdMJ,228507.0,4.0,Random Access Memories,4m2880jivSbbyEGAKfITCa,736
Hoyna Hoyna___Anirudh Ravichander,0.713,0.727,6.0,-7.166,0.0,0.0388,0.183,1.22e-06,0.0756,0.515,97.025,audio_features,7mNQwVYgoB3mtjkjCKsbXM,spotify:track:7mNQwVYgoB3mtjkjCKsbXM,https://api.spotify.com/v1/tracks/7mNQwVYgoB3mtjkjCKsbXM,https://api.spotify.com/v1/audio-analysis/7mNQwVYgoB3mtjkjCKsbXM,271938.0,4.0,Gang Leader (Original Motion Picture Soundtrack),3JdE4IkqObXwTWzYKieCUv,737
No Money (Remix)___Vapi,0.605,0.817,6.0,-4.272,0.0,0.0465,0.00598,0.00758,0.263,0.307,128.947,audio_features,233ZYmIrIy5Znu8T6vq2rc,spotify:track:233ZYmIrIy5Znu8T6vq2rc,https://api.spotify.com/v1/tracks/233ZYmIrIy5Znu8T6vq2rc,https://api.spotify.com/v1/audio-analysis/233ZYmIrIy5Znu8T6vq2rc,171247.0,4.0,No Money (Remix),4w5YQTc9yuJ7jmru36w8Qh,738
Save The Day (feat. Coi Leray & LouGotCash)___Ski Mask The Slump God,0.871,0.751,6.0,-8.042,0.0,0.0788,0.00391,0.0,0.0853,0.787,139.984,audio_features,0vkzRCT7wzqWCFJw5TN1MQ,spotify:track:0vkzRCT7wzqWCFJw5TN1MQ,https://api.spotify.com/v1/tracks/0vkzRCT7wzqWCFJw5TN1MQ,https://api.spotify.com/v1/audio-analysis/0vkzRCT7wzqWCFJw5TN1MQ,178720.0,4.0,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),35s58BRTGAEWztPo9WqCIs,739
Places I Remembered___softy,0.649,0.198,1.0,-14.151,1.0,0.0319,0.967,0.933,0.1,0.131,120.094,audio_features,6fiuI9WiDHELbSOoZkt8vT,spotify:track:6fiuI9WiDHELbSOoZkt8vT,https://api.spotify.com/v1/tracks/6fiuI9WiDHELbSOoZkt8vT,https://api.spotify.com/v1/audio-analysis/6fiuI9WiDHELbSOoZkt8vT,159999.0,4.0,The Breeze,1CmDaXEWRSIJoJVO4lmNkf,740
Just A Feeling___Maroon 5,0.603,0.618,3.0,-5.098,1.0,0.0284,0.147,0.0,0.105,0.295,149.955,audio_features,2t2CoOfwakFAexhvMmWtTb,spotify:track:2t2CoOfwakFAexhvMmWtTb,https://api.spotify.com/v1/tracks/2t2CoOfwakFAexhvMmWtTb,https://api.spotify.com/v1/audio-analysis/2t2CoOfwakFAexhvMmWtTb,226507.0,4.0,Hands All Over (Deluxe),2H4DCvJiZknLngsD2Yqf6k,741
Electric Daisy Violin___Lindsey Stirling,0.569,0.706,6.0,-6.109,0.0,0.032,8.92e-05,0.788,0.635,0.259,127.938,audio_features,0RtHLph8SuBwWvH9T9hIRa,spotify:track:0RtHLph8SuBwWvH9T9hIRa,https://api.spotify.com/v1/tracks/0RtHLph8SuBwWvH9T9hIRa,https://api.spotify.com/v1/audio-analysis/0RtHLph8SuBwWvH9T9hIRa,195131.0,4.0,Lindsey Stirling,3YTWAm90osBvLNWCdF8Nq2,742
Wildflower___Blue Wednesday,0.771,0.105,2.0,-17.697,1.0,0.0766,0.958,0.942,0.0999,0.332,87.002,audio_features,0PDcQRIteJQqADoRYhLIxl,spotify:track:0PDcQRIteJQqADoRYhLIxl,https://api.spotify.com/v1/tracks/0PDcQRIteJQqADoRYhLIxl,https://api.spotify.com/v1/audio-analysis/0PDcQRIteJQqADoRYhLIxl,154310.0,4.0,After Hours,6lBsWeUlf1cHTocQWlBkMA,743
Good Days___SZA,0.436,0.655,1.0,-8.37,0.0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,audio_features,3YJJjQPAbDT7mGpX3WtQ9A,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/tracks/3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/audio-analysis/3YJJjQPAbDT7mGpX3WtQ9A,279204.0,4.0,Good Days,781cKhbTPwLnPmo9BALQl7,744
Disconnected___Pegboard Nerds,0.713,0.891,9.0,-5.724,0.0,0.0352,0.000513,0.0688,0.0687,0.365,127.977,audio_features,118vbJqycPASVgrYnCzb9F,spotify:track:118vbJqycPASVgrYnCzb9F,https://api.spotify.com/v1/tracks/118vbJqycPASVgrYnCzb9F,https://api.spotify.com/v1/audio-analysis/118vbJqycPASVgrYnCzb9F,241875.0,4.0,Disconnected,4ZY8kFYUysWonTFdD43aJe,745
Losin' Sleep___David Archuleta,0.866,0.498,1.0,-7.022,0.0,0.0689,0.377,0.000168,0.146,0.423,143.967,audio_features,1cRG2cmtDHH98FhL5vIDHk,spotify:track:1cRG2cmtDHH98FhL5vIDHk,https://api.spotify.com/v1/tracks/1cRG2cmtDHH98FhL5vIDHk,https://api.spotify.com/v1/audio-analysis/1cRG2cmtDHH98FhL5vIDHk,163873.0,4.0,Losin' Sleep,0ciBkpOLIq8b2TWkLTygp2,746
MAYBE___The Kid LAROI,0.606,0.532,4.0,-4.833,0.0,0.0777,0.00554,0.0,0.292,0.156,89.079,audio_features,4YfNO7sdbAKlkGpIFDDPXU,spotify:track:4YfNO7sdbAKlkGpIFDDPXU,https://api.spotify.com/v1/tracks/4YfNO7sdbAKlkGpIFDDPXU,https://api.spotify.com/v1/audio-analysis/4YfNO7sdbAKlkGpIFDDPXU,174182.0,4.0,F*CK LOVE,6RuwGwQcAureaOraKJNFQG,747
Tell Your Friends___The Weeknd,0.583,0.454,1.0,-11.091,0.0,0.0425,0.265,0.0,0.181,0.309,74.64,audio_features,1mhVXWduD8ReDwusfaHNwU,spotify:track:1mhVXWduD8ReDwusfaHNwU,https://api.spotify.com/v1/tracks/1mhVXWduD8ReDwusfaHNwU,https://api.spotify.com/v1/audio-analysis/1mhVXWduD8ReDwusfaHNwU,334333.0,4.0,Beauty Behind The Madness,0P3oVJBFOv3TDXlYRhGL7s,748
We Won't Be Alone___Feint,0.377,0.858,11.0,-4.9,0.0,0.148,0.134,0.00185,0.0985,0.117,174.751,audio_features,3AayefDdUFxivRs79bX7kV,spotify:track:3AayefDdUFxivRs79bX7kV,https://api.spotify.com/v1/tracks/3AayefDdUFxivRs79bX7kV,https://api.spotify.com/v1/audio-analysis/3AayefDdUFxivRs79bX7kV,234475.0,4.0,We Won't Be Alone,70My3uuhRpziiFJl9x6qtw,749
"King's Dead (with Kendrick Lamar, Future & James Blake)___Jay Rock",0.645,0.705,1.0,-5.008,1.0,0.299,0.000813,0.0,0.128,0.376,137.133,audio_features,51rXHuKN8Loc4sUlKPODgH,spotify:track:51rXHuKN8Loc4sUlKPODgH,https://api.spotify.com/v1/tracks/51rXHuKN8Loc4sUlKPODgH,https://api.spotify.com/v1/audio-analysis/51rXHuKN8Loc4sUlKPODgH,229670.0,4.0,"King's Dead (with Kendrick Lamar, Future & James Blake)",1NXM5lF9YB7a3f1e4R48oH,750
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)___DJ Snake",0.8,0.837,6.0,-2.807,0.0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,audio_features,6IPNp9PfaEqrzotY47TIWy,spotify:track:6IPNp9PfaEqrzotY47TIWy,https://api.spotify.com/v1/tracks/6IPNp9PfaEqrzotY47TIWy,https://api.spotify.com/v1/audio-analysis/6IPNp9PfaEqrzotY47TIWy,225600.0,4.0,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",2TGtXG18s21Q1jnY2TC39M,751
For The Squadron___SAINt JHN,0.765,0.402,6.0,-6.387,1.0,0.0557,0.0178,1.84e-05,0.11,0.353,87.054,audio_features,1Am6QnI4dZi0bkXeJXwW6P,spotify:track:1Am6QnI4dZi0bkXeJXwW6P,https://api.spotify.com/v1/tracks/1Am6QnI4dZi0bkXeJXwW6P,https://api.spotify.com/v1/audio-analysis/1Am6QnI4dZi0bkXeJXwW6P,188854.0,4.0,For The Squadron,5G34PSaRGTFhZZWuznAXGI,752
Good Example (with Andy Grammer)___R3HAB,0.456,0.496,1.0,-6.986,1.0,0.0743,0.427,0.0,0.134,0.45,90.552,audio_features,5SspaMrPfWyRCS0GpjIxa6,spotify:track:5SspaMrPfWyRCS0GpjIxa6,https://api.spotify.com/v1/tracks/5SspaMrPfWyRCS0GpjIxa6,https://api.spotify.com/v1/audio-analysis/5SspaMrPfWyRCS0GpjIxa6,149053.0,4.0,Good Example (with Andy Grammer),2NjENS5zmbvNvABCfygUU6,753
When I Grow Up (feat. Wiz Khalifa)___Dimitri Vegas & Like Mike,0.642,0.655,1.0,-5.222,0.0,0.0489,0.0268,0.0,0.112,0.156,80.997,audio_features,3LK452TFyApuFN9jjg3THO,spotify:track:3LK452TFyApuFN9jjg3THO,https://api.spotify.com/v1/tracks/3LK452TFyApuFN9jjg3THO,https://api.spotify.com/v1/audio-analysis/3LK452TFyApuFN9jjg3THO,195507.0,4.0,When I Grow Up (feat. Wiz Khalifa),5EIvk8iWwa2zLf8UrPFeik,754
Complicated (feat. Kiiara)___Dimitri Vegas & Like Mike,0.678,0.819,8.0,-3.306,1.0,0.0313,0.191,0.0,0.159,0.499,90.004,audio_features,1Sl3njkhhz8nrSPZroDQ82,spotify:track:1Sl3njkhhz8nrSPZroDQ82,https://api.spotify.com/v1/tracks/1Sl3njkhhz8nrSPZroDQ82,https://api.spotify.com/v1/audio-analysis/1Sl3njkhhz8nrSPZroDQ82,184248.0,4.0,Complicated (feat. Kiiara),6SgTiW8a5BHFXbR03BteCd,755
If I Ain’t Got You - Live___Maroon 5,0.502,0.412,3.0,-8.262,1.0,0.027,0.596,0.0,0.0969,0.221,114.344,audio_features,3M1aZaO65nz2yuA5g8LIVQ,spotify:track:3M1aZaO65nz2yuA5g8LIVQ,https://api.spotify.com/v1/tracks/3M1aZaO65nz2yuA5g8LIVQ,https://api.spotify.com/v1/audio-analysis/3M1aZaO65nz2yuA5g8LIVQ,240787.0,3.0,Hands All Over (Deluxe),2H4DCvJiZknLngsD2Yqf6k,756
Balenciaga___Cheat Codes,0.683,0.817,8.0,-5.531,0.0,0.215,0.064,3.35e-05,0.076,0.241,125.977,audio_features,5k6ioThKIxeklkIt3MNJjC,spotify:track:5k6ioThKIxeklkIt3MNJjC,https://api.spotify.com/v1/tracks/5k6ioThKIxeklkIt3MNJjC,https://api.spotify.com/v1/audio-analysis/5k6ioThKIxeklkIt3MNJjC,173707.0,4.0,Balenciaga,6hcrXezsA174Re3qGwPDzV,757
Salt___Ava Max,0.693,0.835,6.0,-3.242,1.0,0.0624,0.131,0.0,0.073,0.744,128.052,audio_features,5iyZwawawLjHYpX4MxUKVF,spotify:track:5iyZwawawLjHYpX4MxUKVF,https://api.spotify.com/v1/tracks/5iyZwawawLjHYpX4MxUKVF,https://api.spotify.com/v1/audio-analysis/5iyZwawawLjHYpX4MxUKVF,180283.0,4.0,Heaven & Hell,26c7MmQ4w8EAvVLb4jilaM,758
GDFR (feat. Sage the Gemini & Lookas) - K Theory Remix___Flo Rida,0.629,0.955,5.0,-3.763,0.0,0.169,0.0228,0.000603,0.349,0.649,145.955,audio_features,15W8qc8Ok22EJGNwEKhiw9,spotify:track:15W8qc8Ok22EJGNwEKhiw9,https://api.spotify.com/v1/tracks/15W8qc8Ok22EJGNwEKhiw9,https://api.spotify.com/v1/audio-analysis/15W8qc8Ok22EJGNwEKhiw9,187960.0,4.0,GDFR (feat. Sage the Gemini & Lookas) [Remixes],6TxMjRmbOzGaGX4RzYYMcR,759
Shut Up___Stormzy,0.578,0.866,1.0,-3.804,1.0,0.0619,0.00701,0.0,0.257,0.619,128.038,audio_features,4kbj5MwxO1bq9wjT5g9HaA,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA,https://api.spotify.com/v1/audio-analysis/4kbj5MwxO1bq9wjT5g9HaA,199080.0,4.0,TALKING IS HARD,3mNoFlD1wsoXfkljfFzExT,760
Blocks___Marshmello,0.555,0.844,9.0,-2.096,0.0,0.0705,0.000163,0.00617,0.426,0.563,142.115,audio_features,4wXum3jZgEGLxScTygQ5US,spotify:track:4wXum3jZgEGLxScTygQ5US,https://api.spotify.com/v1/tracks/4wXum3jZgEGLxScTygQ5US,https://api.spotify.com/v1/audio-analysis/4wXum3jZgEGLxScTygQ5US,209577.0,4.0,Joytime,6opKASPALOkPwCfHvqIS9H,761
Control___Unknown Brain,0.544,0.771,5.0,-4.097,0.0,0.0644,0.00339,2.12e-05,0.173,0.301,99.743,audio_features,46MUbxLye12SKBN7xHg3CF,spotify:track:46MUbxLye12SKBN7xHg3CF,https://api.spotify.com/v1/tracks/46MUbxLye12SKBN7xHg3CF,https://api.spotify.com/v1/audio-analysis/46MUbxLye12SKBN7xHg3CF,166800.0,4.0,Control,3WEPzTQTjVJSCVv0lKEKq0,762
What Lovers Do (feat. SZA)___Maroon 5,0.799,0.597,5.0,-5.131,0.0,0.0611,0.0788,5.66e-06,0.1,0.419,110.001,audio_features,2j5hsQvApottzvTn4pFJWF,spotify:track:2j5hsQvApottzvTn4pFJWF,https://api.spotify.com/v1/tracks/2j5hsQvApottzvTn4pFJWF,https://api.spotify.com/v1/audio-analysis/2j5hsQvApottzvTn4pFJWF,199849.0,4.0,Red Pill Blues (Deluxe),3ThQ5dvf9wlqB0C7evh5nH,763
Cruel (feat. ZAYN)___Snakehips,0.603,0.879,5.0,-4.098,1.0,0.124,0.0184,0.0,0.156,0.318,110.125,audio_features,0B2RttXEiyXsMeQ7mMP3EI,spotify:track:0B2RttXEiyXsMeQ7mMP3EI,https://api.spotify.com/v1/tracks/0B2RttXEiyXsMeQ7mMP3EI,https://api.spotify.com/v1/audio-analysis/0B2RttXEiyXsMeQ7mMP3EI,228253.0,4.0,Cruel (feat. ZAYN),0foMG0HqauruzIFk43eSzG,764
Till It Hurts___Yellow Claw,0.547,0.886,8.0,-4.017,1.0,0.0308,0.000619,0.000232,0.193,0.294,145.055,audio_features,6hJSH3jS9jG6khVclppBJw,spotify:track:6hJSH3jS9jG6khVclppBJw,https://api.spotify.com/v1/tracks/6hJSH3jS9jG6khVclppBJw,https://api.spotify.com/v1/audio-analysis/6hJSH3jS9jG6khVclppBJw,188680.0,4.0,Till It Hurts,2Q4Tw5r56tuvZqs39pGn9w,765
Far Gone (feat. Johnny Yukon)___BURNS,0.669,0.721,5.0,-7.045,1.0,0.193,0.433,0.0,0.0842,0.361,112.973,audio_features,4EbZzFeN5YbgeKvCctCrxr,spotify:track:4EbZzFeN5YbgeKvCctCrxr,https://api.spotify.com/v1/tracks/4EbZzFeN5YbgeKvCctCrxr,https://api.spotify.com/v1/audio-analysis/4EbZzFeN5YbgeKvCctCrxr,240103.0,4.0,Far Gone (feat. Johnny Yukon),1DGKWJnrh8lYicbPZPpK5O,766
Hole In My Heart (with Livingston)___Louis The Child,0.813,0.702,7.0,-5.313,0.0,0.103,0.0144,0.0,0.211,0.65,124.06,audio_features,4nRwznPhpULuqcqRw9KAUd,spotify:track:4nRwznPhpULuqcqRw9KAUd,https://api.spotify.com/v1/tracks/4nRwznPhpULuqcqRw9KAUd,https://api.spotify.com/v1/audio-analysis/4nRwznPhpULuqcqRw9KAUd,171327.0,4.0,Euphoria,3v7G0xjQmRLjrX6BIfsYh9,767
Let It Be Me (feat. Ava Max)___David Guetta,0.743,0.529,7.0,-6.187,0.0,0.0505,0.128,0.0,0.181,0.438,102.048,audio_features,01qMOMudbkIHZS9BFPUGNk,spotify:track:01qMOMudbkIHZS9BFPUGNk,https://api.spotify.com/v1/tracks/01qMOMudbkIHZS9BFPUGNk,https://api.spotify.com/v1/audio-analysis/01qMOMudbkIHZS9BFPUGNk,172933.0,4.0,7,2Sq9AIsIrad2GygwB6QLPt,768
2055___Sleepy Hallow,0.829,0.512,6.0,-5.865,0.0,0.187,0.492,0.0,0.12,0.638,80.511,audio_features,4XvcHTUfIlWfyJTRG0aqlo,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,https://api.spotify.com/v1/tracks/4XvcHTUfIlWfyJTRG0aqlo,https://api.spotify.com/v1/audio-analysis/4XvcHTUfIlWfyJTRG0aqlo,123987.0,4.0,Still Sleep?,38nZLvJx8A9p4YYpTG5iFP,769
Head & Heart (feat. MNEK)___Joel Corry,0.734,0.874,8.0,-3.158,1.0,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,audio_features,6cx06DFPPHchuUAcTxznu9,spotify:track:6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/tracks/6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/audio-analysis/6cx06DFPPHchuUAcTxznu9,166028.0,4.0,Head & Heart (feat. MNEK),5glfCPECXSHzidU6exW8wO,770
If I Never See Your Face Again___Maroon 5,0.745,0.867,1.0,-2.446,1.0,0.0374,0.017,0.0,0.281,0.936,106.006,audio_features,4xSjIgsYgd36OAK4QZ55Pr,spotify:track:4xSjIgsYgd36OAK4QZ55Pr,https://api.spotify.com/v1/tracks/4xSjIgsYgd36OAK4QZ55Pr,https://api.spotify.com/v1/audio-analysis/4xSjIgsYgd36OAK4QZ55Pr,201000.0,4.0,It Won't Be Soon Before Long.,29hJ8AFYZU98OzenrMr6iU,771
Pied-de-vent___TABAL,0.572,0.326,8.0,-15.288,0.0,0.0793,0.867,0.285,0.0923,0.0582,80.028,audio_features,5jpwuTRCDkuwKwDtrKUpo1,spotify:track:5jpwuTRCDkuwKwDtrKUpo1,https://api.spotify.com/v1/tracks/5jpwuTRCDkuwKwDtrKUpo1,https://api.spotify.com/v1/audio-analysis/5jpwuTRCDkuwKwDtrKUpo1,156725.0,4.0,Rainy Days,5It33vqixFQuK7GnlhYqp8,772
Kids (feat. MKLA)___KSHMR,0.744,0.866,9.0,-4.834,1.0,0.106,0.0107,0.0537,0.528,0.302,128.027,audio_features,3rgTS3933lMWoPiN6CW4qY,spotify:track:3rgTS3933lMWoPiN6CW4qY,https://api.spotify.com/v1/tracks/3rgTS3933lMWoPiN6CW4qY,https://api.spotify.com/v1/audio-analysis/3rgTS3933lMWoPiN6CW4qY,184687.0,4.0,Kids (feat. MKLA),3iYUmg1PpY33KH7QW0goe1,773
Endless___Amess,0.461,0.275,10.0,-12.331,1.0,0.0259,0.745,0.000219,0.126,0.124,93.126,audio_features,0rt0dZ11FVsvprbarag5tk,spotify:track:0rt0dZ11FVsvprbarag5tk,https://api.spotify.com/v1/tracks/0rt0dZ11FVsvprbarag5tk,https://api.spotify.com/v1/audio-analysis/0rt0dZ11FVsvprbarag5tk,268293.0,4.0,Back To Front,3oCmLDbxXc1SDZIkwGo0x5,774
Fresh___Daft Punk,0.828,0.56,0.0,-6.685,1.0,0.0327,0.548,3.66e-05,0.15,0.872,122.054,audio_features,5NDUXbMwcnTQp66tI2zcdR,spotify:track:5NDUXbMwcnTQp66tI2zcdR,https://api.spotify.com/v1/tracks/5NDUXbMwcnTQp66tI2zcdR,https://api.spotify.com/v1/audio-analysis/5NDUXbMwcnTQp66tI2zcdR,198001.0,4.0,The Good Parts,0lq7zwC6uQiu8pwW5FK3Fb,775
Sparks___DLJ,0.692,0.148,2.0,-11.483,1.0,0.0449,0.903,0.597,0.0968,0.167,128.029,audio_features,3uIP0SrX00aQrQ0SEKErCL,spotify:track:3uIP0SrX00aQrQ0SEKErCL,https://api.spotify.com/v1/tracks/3uIP0SrX00aQrQ0SEKErCL,https://api.spotify.com/v1/audio-analysis/3uIP0SrX00aQrQ0SEKErCL,150938.0,4.0,Morning Coffee,6SyfRVMVetoCiUXBEzCJ0J,776
Hold My Hand___Krynoze,0.561,0.0185,5.0,-21.849,1.0,0.0327,0.958,0.947,0.071,0.177,60.013,audio_features,6yzoosToQTjFNu6WjuWahI,spotify:track:6yzoosToQTjFNu6WjuWahI,https://api.spotify.com/v1/tracks/6yzoosToQTjFNu6WjuWahI,https://api.spotify.com/v1/audio-analysis/6yzoosToQTjFNu6WjuWahI,164162.0,4.0,Tomorrow Comes,38KDWtXii83A6xj26chFbk,777
Throw Myself A Party___Cashmere Cat,0.626,0.64,8.0,-5.133,0.0,0.0525,0.195,0.0,0.147,0.516,136.072,audio_features,5n6PtOoeGzBeKFDeGNozLd,spotify:track:5n6PtOoeGzBeKFDeGNozLd,https://api.spotify.com/v1/tracks/5n6PtOoeGzBeKFDeGNozLd,https://api.spotify.com/v1/audio-analysis/5n6PtOoeGzBeKFDeGNozLd,248493.0,4.0,Throw Myself A Party,3rfz0AVzEXCaMMMk2C9cXM,778
Mess___Trevor Daniel,0.622,0.791,7.0,-6.106,1.0,0.0535,0.00188,3.72e-06,0.083,0.494,115.915,audio_features,3z6XUommYDWPHeFhmhhT6j,spotify:track:3z6XUommYDWPHeFhmhhT6j,https://api.spotify.com/v1/tracks/3z6XUommYDWPHeFhmhhT6j,https://api.spotify.com/v1/audio-analysis/3z6XUommYDWPHeFhmhhT6j,225960.0,4.0,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,779
"Harder, Better, Faster, Stronger___Daft Punk",0.817,0.716,6.0,-8.898,0.0,0.144,0.0427,0.00263,0.358,0.692,123.474,audio_features,5W3cjX2J3tjhG8zb6u0qHn,spotify:track:5W3cjX2J3tjhG8zb6u0qHn,https://api.spotify.com/v1/tracks/5W3cjX2J3tjhG8zb6u0qHn,https://api.spotify.com/v1/audio-analysis/5W3cjX2J3tjhG8zb6u0qHn,224693.0,4.0,Discovery,2noRn2Aes5aoNVsU6iWThc,780
Either Way (feat. Chris Brown)___K. Michelle,0.831,0.416,1.0,-7.239,1.0,0.123,0.0286,0.0,0.0881,0.395,134.107,audio_features,4UeLehlKZDo61XZrOhr5jr,spotify:track:4UeLehlKZDo61XZrOhr5jr,https://api.spotify.com/v1/tracks/4UeLehlKZDo61XZrOhr5jr,https://api.spotify.com/v1/audio-analysis/4UeLehlKZDo61XZrOhr5jr,254095.0,4.0,Either Way (feat. Chris Brown),3GmtcEBnUUnOnS53jTMYl6,781
Beautiful Now___Zedd,0.628,0.833,11.0,-4.126,0.0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,audio_features,2ISSQPb9LHHiV6ng2NXosL,spotify:track:2ISSQPb9LHHiV6ng2NXosL,https://api.spotify.com/v1/tracks/2ISSQPb9LHHiV6ng2NXosL,https://api.spotify.com/v1/audio-analysis/2ISSQPb9LHHiV6ng2NXosL,218293.0,4.0,True Colors,4jKdXIJckKh7la6xHuKwRT,782
Cloud Up - Suit ver.___DJ KIMERA,0.633,0.514,11.0,-17.002,0.0,0.0561,0.00297,0.851,0.132,0.591,128.345,audio_features,155d9Fkwq2faq69kwzfXFM,spotify:track:155d9Fkwq2faq69kwzfXFM,https://api.spotify.com/v1/tracks/155d9Fkwq2faq69kwzfXFM,https://api.spotify.com/v1/audio-analysis/155d9Fkwq2faq69kwzfXFM,248082.0,4.0,DJ KIMERA 2 - Directors cut,2UqnsBAvzcKHq6aFdOQLyi,783
These Heights (feat. Caroline Pennell)___Bassjackers,0.416,0.772,0.0,-4.965,1.0,0.13,0.0543,0.0,0.359,0.233,121.215,audio_features,1LFT9QfD13yS96njon1w49,spotify:track:1LFT9QfD13yS96njon1w49,https://api.spotify.com/v1/tracks/1LFT9QfD13yS96njon1w49,https://api.spotify.com/v1/audio-analysis/1LFT9QfD13yS96njon1w49,184947.0,4.0,These Heights (feat. Caroline Pennell),3Nauj6B55UUkd9lSgOm4Ax,784
family ties (with Kendrick Lamar)___Baby Keem,0.711,0.611,1.0,-5.453,1.0,0.329,0.00575,0.0,0.231,0.144,134.14,audio_features,7Bpx2vsWfQFBACRz4h3IqH,spotify:track:7Bpx2vsWfQFBACRz4h3IqH,https://api.spotify.com/v1/tracks/7Bpx2vsWfQFBACRz4h3IqH,https://api.spotify.com/v1/audio-analysis/7Bpx2vsWfQFBACRz4h3IqH,252070.0,4.0,family ties (with Kendrick Lamar),3HqmX8hGcbbQZODgayNEYx,785
Kiss Me More (feat. SZA)___Doja Cat,0.764,0.705,8.0,-3.463,1.0,0.0284,0.259,8.92e-05,0.12,0.781,110.97,audio_features,3DarAbFujv6eYNliUTyqtz,spotify:track:3DarAbFujv6eYNliUTyqtz,https://api.spotify.com/v1/tracks/3DarAbFujv6eYNliUTyqtz,https://api.spotify.com/v1/audio-analysis/3DarAbFujv6eYNliUTyqtz,208667.0,4.0,Planet Her,1nAQbHeOWTfQzbOoFrvndW,786
Ignite___Alan Walker,0.681,0.864,8.0,-4.3,0.0,0.116,0.0208,3.98e-06,0.192,0.479,90.008,audio_features,1jLsirPDkUS2g4gnkYua58,spotify:track:1jLsirPDkUS2g4gnkYua58,https://api.spotify.com/v1/tracks/1jLsirPDkUS2g4gnkYua58,https://api.spotify.com/v1/audio-analysis/1jLsirPDkUS2g4gnkYua58,210288.0,4.0,Ignite,6Rg9tJW4DSAUyNp59VXzu1,787
Cruel World___Seeb,0.434,0.854,1.0,-3.712,0.0,0.054,0.161,0.0,0.223,0.442,93.942,audio_features,3akK9yI6CIMKB2V9eQWRGc,spotify:track:3akK9yI6CIMKB2V9eQWRGc,https://api.spotify.com/v1/tracks/3akK9yI6CIMKB2V9eQWRGc,https://api.spotify.com/v1/audio-analysis/3akK9yI6CIMKB2V9eQWRGc,205532.0,4.0,Cruel World,1f8e5PC50tuLm6cqJJfUyh,788
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)___DJ Snake",0.842,0.801,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,audio_features,0KoiMHhqKLoL4xM54rcWYY,spotify:track:0KoiMHhqKLoL4xM54rcWYY,https://api.spotify.com/v1/tracks/0KoiMHhqKLoL4xM54rcWYY,https://api.spotify.com/v1/audio-analysis/0KoiMHhqKLoL4xM54rcWYY,212500.0,4.0,Carte Blanche,2MFS6WG6jnPAgvJpV3PehR,789
